Keys;3H-Hinton-S1;3H-Hinton-S2;3H-Hinton-S3;3H-Hinton-S4;3H-Hinton-S5;3H-Hinton-S6;3H-Hinton-S7;3H-Hinton-S8;3H-Hinton-S9;3H-Hinton-S10;3H-Hinton-S11;3H-Hinton-S12;3H-Hinton-S13;3H-Hinton-S14;3H-Hinton-S15;3H-Hinton-S16;3H-Hinton-S17;3H-Hinton-S18;3H-Hinton-S19;3H-Hinton-S20;3H-Hinton-S21;3H-Hinton-S22;3H-Hinton-S23;3H-Hinton-S24;3H-Hinton-S25;3H-Hinton-S26;3H-Hinton-S27;3H-Hinton-S28;3H-Hinton-S29;3H-Hinton-S30;3H-Hinton-S31;3H-Hinton-S32;3H-Hinton-S33;3H-Hinton-S34;3H-Hinton-S35;3H-Hinton-S36;3H-Hinton-S37;3H-Hinton-S38;3H-Hinton-S39;3H-Hinton-S40;3H-Hinton-S41;3H-Hinton-S42;3H-Hinton-S43;3H-Hinton-S44;3H-Hinton-S45;3H-Hinton-S46;3H-Hinton-S47;3H-Hinton-S48;3H-Hinton-S49;3H-Hinton-S50;3H-Hinton-S51;3H-Hinton-S52;3H-Hinton-S53;3H-Hinton-S54;3H-Hinton-S55;3H-Hinton-S56;3H-Hinton-S57;3H-Hinton-S58;3H-Hinton-S59;3H-Hinton-S60;3H-Hinton-S61;3H-Hinton-S62;3H-Hinton-S63;3H-Hinton-S64;3H-Hinton-S65;3H-Hinton-S66;3H-Hinton-S67;3H-Hinton-S68;3H-Hinton-S69;3H-Hinton-S70;3H-Hinton-S71;3H-Hinton-S72;3H-Hinton-S73;3H-Hinton-S74;3H-Hinton-S75;3H-Hinton-S76;3H-Hinton-S77;3H-Hinton-S78;3H-Hinton-S79;3H-Hinton-S80;3H-Hinton-S81;3H-Hinton-S82;3H-Hinton-S83;3H-Hinton-S84;3H-Hinton-S85;3H-Hinton-S86;3H-Hinton-S87;3H-Hinton-S88;3H-Hinton-S89;3H-Hinton-S90;3H-Hinton-S91;3H-Hinton-S92;3H-Hinton-S93;3H-Hinton-S94;3H-Hinton-S95;3H-Hinton-S96;3H-Hinton-S97;3H-Hinton-S98;3H-Hinton-S99;3H-Hinton-S100;3H-Hinton-S101;3H-Hinton-S102;3H-Hinton-S103;3H-Hinton-S104;3H-Hinton-S105;3H-Hinton-S106;3H-Hinton-S107;3H-Hinton-S108;3H-Hinton-S109;3H-Hinton-S110;3H-Hinton-S111;3H-Hinton-S112;3H-Hinton-S113;3H-Hinton-S114;3H-Hinton-S115;3H-Hinton-S116;3H-Hinton-S117;3H-Hinton-S118;3H-Hinton-S119;3H-Hinton-S120;3H-Hinton-S121;3H-Hinton-S122;3H-Hinton-S123;3H-Hinton-S124;3H-Hinton-S125;3H-Hinton-S126;3H-Hinton-S127;3H-Hinton-S128
Optimizer/ModelSelectionMethod;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn;AllIn
Optimizer/EnsembleCount;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Optimizer/TournamentCount;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Optimizer/MinLeaveOutRatio;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Optimizer/MaxLeaveOutRatio;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Optimizer/LeaveOutStep;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Optimizer/SplitCountPerLeaveOutRatio;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Regularizer/LabelSmoothing;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
Regularizer/EarlyStopping;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
Regularizer/EarlyStoppingMargin;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Regularizer/L1Lambda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Regularizer/L2Lambda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Regularizer/DropConnect;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
Regularizer/SpatialDropout;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
Regularizer/GroupNormalization;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation;FALSE;FALSE;FALSE;FALSE;Activation;Activation;Activation;Activation
Regularizer/WeightsStandardize;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE
Model/ShiftScaleOptimize;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
